Code,Year,Sales,Bills
1111110438,2022,2.25,1
1111110439,2020,28.0,6
1111110439,2021,82.5,10
1111110439,2022,32.75,3
1111110440,2020,88.4,6
1111110440,2021,392.5,12
1111110440,2022,114.75,3
1111110441,2020,102.85,6
1111110441,2021,165.9,9
1111110442,2020,154.15,6
1111110442,2021,225.55,10
1111110444,2020,37683.03,2
1111110444,2021,87969.42,5
1111110448,2020,1576.39,1
1111110448,2021,20868.16,7
1111110452,2020,71.75,3
1111110452,2021,216.3,7
1111110452,2022,89.95,3
1111110453,2020,59.9,2
1111110454,2020,55.15,5
1111110454,2021,141.85,12
1111110454,2022,19.25,3
1111110455,2020,132.4,5
1111110455,2021,348.7,12
1111110455,2022,72.65,3
1111110456,2020,140.2,5
1111110456,2021,190.15,11
1111110456,2022,55.95,3
1111110457,2020,91.5,5
1111110457,2021,209.0,12
1111110457,2022,40.0,3
1111110458,2020,95.7,5
1111110458,2021,104.5,5
1111110459,2020,1.5,1
1111110460,2020,9.0,1
1111110461,2020,120.05,5
1111110461,2021,328.75,12
1111110461,2022,75.3,3
1111110462,2020,1.5,1
1111110462,2021,25.9,3
1111110463,2020,853.05,1
1111110469,2020,90.75,1
1111110479,2020,90.75,1
1111110480,2020,37.0,4
1111110480,2021,152.4,12
1111110480,2022,34.45,3
1111110481,2020,80.3,4
1111110481,2021,368.45,12
1111110481,2022,84.8,3
1111110482,2020,25.5,3
1111110482,2021,423.75,12
1111110482,2022,97.55,3
1111110483,2020,34.5,4
1111110483,2021,187.75,12
1111110483,2022,31.8,3
1111110484,2020,284.75,4
1111110484,2021,699.89996,11
1111110484,2022,157.25,3
1111110487,2020,1765.5,2
1111110495,2020,33.15,3
1111110495,2021,94.55,11
1111110495,2022,27.05,3
1111110498,2020,544.5,1
1111110498,2021,1785.96,1
1111110498,2022,1785.96,1
1111110501,2020,2308.6802,3
1111110501,2021,3267.0,6
1111110501,2022,15681.6,1
1111110508,2020,4.1,3
1111110508,2021,111.5,12
1111110508,2022,22.5,3
1111110513,2020,44.6,2
1111110513,2021,20.0,1
1111110513,2022,298.87,1
1111110514,2020,6.25,1
1111110514,2021,233.2,12
1111110514,2022,37.45,3
1111110516,2020,5.0,2
1111110516,2021,39.85,11
1111110517,2020,68.85,3
1111110517,2021,194.2,8
1111110518,2020,81.05,2
1111110518,2021,479.8,11
1111110518,2022,89.6,3
1111110521,2020,36.5,2
1111110521,2021,121.5,12
1111110521,2022,26.6,3
1111110522,2020,90.75,1
1111110523,2021,10399.95,1
1111110524,2021,52253.74,10
1111110524,2022,25904.76,1
1111110525,2022,3789.72,1
1111110526,2021,58080.0,3
1111110526,2022,58080.0,3
1111110532,2020,2668.05,1
1111110532,2021,2668.05,1
1111110534,2020,2420.0,1
1111110535,2020,4000.0,1
1111110536,2022,3965.92,2
1111110538,2020,56972.5,1
1111110538,2021,45100.0,1
1111110541,2020,2420.0,1
1111110542,2020,1258.4,1
1111110542,2021,15572.699,4
1111110542,2022,7393.1,1
1111110546,2021,5229.8,1
1111110546,2022,5491.36,1
1111110547,2021,26753.11,6
1111110550,2021,17480.27,4
1111110550,2022,16083.93,2
1111110553,2022,16796.59,2
1111110557,2021,404.2,12
1111110557,2022,168.45,3
1111110558,2021,602.6,12
1111110558,2022,210.7,3
1111110559,2021,0.8,1
1111110560,2021,141.65,12
1111110560,2022,33.05,3
1111110561,2021,338.4,11
1111110561,2022,77.35,3
1111110564,2021,68849.3,10
1111110566,2022,3775.2,1
1111110571,2021,2662.0,1
1111110572,2021,13310.0,2
1111110573,2021,3500.79,2
1111110573,2022,984.5,1
1111110574,2021,980.1,1
1111110580,2021,1091.42,11
1111110580,2022,99.22,1
1111110581,2021,9950.68,1
1111110584,2022,12942.16,2
1111110585,2021,484.0,1
1111110588,2020,642.0,1
1111110590,2021,1140.0,1
1111110590,2022,948.0,1
1111110593,2021,22.36,1
1111110593,2022,22.359999,2
1111110597,2021,90.75,1
1111110598,2021,90.65,1
1111110601,2021,14080.77,2
1111110601,2022,1564.53,1
1111110602,2021,258.4,9
1111110603,2021,7144.0,2
1111110608,2021,5617.5,1
1111110611,2021,5324.0,1
1111110615,2021,363.0,1
1111110616,2021,18392.0,3
1111110621,2021,484.0,1
1111110622,2021,6890.8,2
1111110622,2022,8099.9,4
1111110623,2022,9325.05,3
1111110629,2021,27.1,3
1111110630,2021,152.85,9
1111110630,2022,56.2,3
1111110631,2021,177.5,9
1111110631,2022,57.15,3
1111110632,2021,629.1,9
1111110632,2022,137.7,3
1111110636,2021,21866.76,3
1111110636,2022,59173.6,8
1111110640,2021,90.75,1
1111110642,2021,40003.21,5
1111110642,2022,13515.7,4
1111110643,2021,23401.16,1
1111110643,2022,35101.74,2
1111110645,2021,51049.9,2
1111110645,2022,60022.05,9
1111110646,2021,362.19998,8
1111110646,2022,170.2,3
1111110648,2021,90.75,1
1111110651,2021,107789.9,7
1111110651,2022,128996.47,4
1111110653,2021,13310.0,1
1111110654,2021,5510.34,2
1111110656,2021,19965.0,1
1111110657,2021,2784.87,1
1111110657,2022,10402.38,3
1111110658,2021,3466.65,1
1111110658,2022,3466.65,1
1111110662,2021,90.75,1
1111110666,2021,158.7,7
1111110666,2022,58.15,3
1111110667,2021,148.2,7
1111110667,2022,105.85,3
1111110668,2021,88.4,5
1111110669,2021,34.5,2
1111110670,2021,212.0,7
1111110670,2022,67.8,3
